Bill,role,alderman,billID
BB 202 Ordinance designating 2800 block of Finney as Rev. Dr. Jimmy L. Brown St.,Primary,davis,BB 202
"BB 223 Vacation of alley at Samuel Shepard, Leonard, Washington, Josephine Baker",Primary,davis,BB 223
"BB 264 vacation of alley at Dr. Martin Luther King Drive, 20th, Delmar, 21st",Primary,davis,BB 264
"BB 264 vacation of alley at Dr. Martin Luther King Drive, 20th, Delmar, 21st",Primary,davis,BB 264
BB 269 Forsyth Associates CID,Primary,davis,BB 269
BB 269 Forsyth Associates CID,Primary,davis,BB 269
BB 285 Armory TIF Plan,Co-Sponsor,davis,BB 285
BB 286 Armory TIF Agreement,Co-Sponsor,davis,BB 286
BB 289 Armory CID,Co-Sponsor,davis,BB 289
BB 305 Ordinance approving minority & women owned business program,Co-Sponsor,davis,BB 305
BB 309 Ordinance prohibiting the use of alleys by operators of motor vehicles for drive through traffic,Co-Sponsor,davis,BB 309
BB 2 Airport 2007 Refunding Bonds,Primary,davis,BB 2
BB 11 Community benefits agreement for tax incentivized real estate projects,Co-Sponsor,davis,BB 11
BB 19 Redevelopment plan for 3827 Shaw Blvd,Primary,davis,BB 19
BB 27 Lease agreement Enterprise Leasing,Primary,davis,BB 27
BB 28 Concession agreement with Air Pod Terminal Services,Primary,davis,BB 28
BB 29 Lease agreement with Ameren - Mo,Primary,davis,BB 29
BB 38 Ordinance amending tax abatement for 1513-23 S. Compton and 3201-27 St. Vincent,Primary,davis,BB 38
BB 43 Forsyth Associates Community Improvement District,Primary,davis,BB 43
BB 49 Redevelopment plan for 3904 Folsom,Primary,davis,BB 49
BB 51 FY17 Capital Improvement Projects,Primary,davis,BB 51
BB 73 Honorary street name change to Justine M. Petersen Pathway,Primary,davis,BB 73
BB 95 Hunter Engineering Lease Agreement,Primary,davis,BB 95
BB 102 TRANS Bill,Primary,davis,BB 102
BB 107 Air Service Incentive Program,Primary,davis,BB 107
BB 108 Air Service Incentive Program Funding,Primary,davis,BB 108
"BB 109 CIP Airfield, Building and Environs Projects",Primary,davis,BB 109
BB 110 Supplemental Agreement to Airport Aid Agreement,Primary,davis,BB 110
BB 111 Airport Aid Agreement With Mo. Highways and Transportation Commission.,Primary,davis,BB 111
BB 112 First Amendment to Wi-Fi and Distributed Antenna System,Primary,davis,BB 112
BB 131 Honorary street name - Elder Bennie Lee Thompson Street,Primary,davis,BB 131
BB 132 Establishing the Office of Community Mediation,Co-Sponsor,davis,BB 132
BB 135 Service agreement with Complete Auto Body and Repair,Primary,davis,BB 135
BB 136 Ordinance pertaining to Leases on the Wharf,Primary,davis,BB 136
BB 182 Transfer of money from Debt Service Stabilizing Fund to Airport Dev. Fund,Primary,davis,BB 182
BB 183 Amendment to the Airfield Building and Environs Project,Primary,davis,BB 183
BB 184 Ordinance authorizing local concept restaurant concession,Primary,davis,BB 184
BB 186 Grand Center Bill,Primary,davis,BB 186
BB 193 An ordinance pertaining to unlawful possession of marijuana,Co-Sponsor,davis,BB 193
BB 203 Ordinance establishing a public works project,Co-Sponsor,davis,BB 203
BB 208 Transfer of funds to the Airport Development Fund,Primary,davis,BB 208
BB 209 2nd Amendment to the Fuel System Lease,Primary,davis,BB 209
BB 210 Agreement with ABM Parking Services,Primary,davis,BB 210
BB 224 Sale to UE d/b/a Ameren Mo.,Primary,davis,BB 224
BB 225 1st amendment to the agreement with Signature Flight Support,Primary,davis,BB 225
BB 226 1st amendment to the agreement with MHS Travel & Charter,Primary,davis,BB 226
BB 232 Ordinance regarding the boundaries of the Port Authority,Primary,davis,BB 232
BB 233 Ordinance amending Civilian Oversight Board Bill,Co-Sponsor,davis,BB 233
BB 234 Ordinance establishing Independent Investigations Unit,Co-Sponsor,davis,BB 234
BB 246 Additional sales tax and use tax established by Ord 7058,Co-Sponsor,davis,BB 246
BB 265 Street name change to Pastor Bennie Lee Thompson,Primary,davis,BB 265
"BB 271 honorary street name, Norman R. Seay Avenue",Primary,davis,BB 271
"BB 7 An Ordinance recommended and approved by the Airport Commission, the Board of Public Service, and the Board of Estimate and Apportionment, establishing and authorizing a public works and  improvement program at St. Louis Lambert International Airport",Primary,davis,BB 7
BB 8  An Ordinance recommended and approved by the Airport Commission and the Board of Estimate and Apportionment authorizing a First Supplemental Appropriation in the total amount of Four Hundred Eighty One Thousand Three Hundred Two Dollars from the Air,Primary,davis,BB 8
BB 28 Redevelopment Plan for the 2647-2651 Washington Blvd,Primary,davis,BB 28
BB 29 An ordinance approving a Redevelopment Plan for the Tiffany Neighborhood Scattered Sites Area,Primary,davis,BB 29
"BB 42 An ordinance recommended and approved by the Airport Commission, the Comptroller and the Board of Estimate and Apportionment, making certain findings with respect to the transfer of up to Four Million Dollars ($4,000,000) of excess moneys that The Ci",Primary,davis,BB 42
"BB 43 An Ordinance recommended and approved by the Airport Commission, the Board of Public Service, and the Board of Estimate and Apportionment authorizing a First Amendment to Section One of the Airfield, Building  & Environs",Primary,davis,BB 43
"BB 44 Second Amendment to Lease Agreement AL-222 between the City and MHS Travel and Charter, Inc. (â€œMHSâ€ù), (the â€œSecond Amendmentâ€ù).  The Second Amendment amends Lease Agreement AL-222 dated June 25, 2013,",Primary,davis,BB 44
"BB 45  â€œAirport Terminal Services, Inc. Space Permit AL-071â€ù  (â€œPermitâ€ù) between the City and Airport Terminal Services, Inc.,",Primary,davis,BB 45
"BB 74 establishing and authorizing a public works and improvement program (the â€œAirfield, Building & Environs Projectsâ€ù) at St. Louis Lambert International AirportÂ® (the",Primary,davis,BB 74
"BB 75 An ordinance recommended and approved by the Airport Commission, the Comptroller and the Board of Estimate and Apportionment, making certain findings with respect to the transfer of up to Three Million Dollars ($3,000,000) of excess moneys that The C",Primary,davis,BB 75
"BB 86 Pursuant to Ordinance 68937, an ordinance authorizing the honorary street name Urban League Square, which shall begin at the intersection of North Spring Avenue and Grandel Square and run East on Grandel Square to North Grand Boulevard.",Primary,davis,BB 86
"BB 98 Third Amendment to Section One of the Airport Schedule F CIP Project Ordinance 67357 approved December 19, 2006,",Primary,davis,BB 98
BB 2 An ordinance pertaining to securing vacant buildings and structures,Co-Sponsor,flowers,BB 2
BB 3 An ordinance pertaining to Housing Conservation districts in Ward 7,Co-Sponsor,flowers,BB 3
BB 5 An ordinance pertaining to Home Day Cares,Co-Sponsor,flowers,BB 5
BB 5 An ordinance pertaining to Home Day Cares,Co-Sponsor,flowers,BB 5
BB 6 An ordinance submitting to the qualified voters a non-binding preferential vote regarding the residency of members of the Police Department,Co-Sponsor,flowers,BB 6
BB 6 An ordinance submitting to the qualified voters a non-binding preferential vote regarding the residency of members of the Police Department,Co-Sponsor,flowers,BB 6
BB 7 An ordinance pertaining to the Board of Trustees of the Employees Retirement System of the City of St. Louis,Co-Sponsor,flowers,BB 7
BB 9 An ordinance pertaining to curfew in Buder Park,Co-Sponsor,flowers,BB 9
BB 14 An Ord. pertaining to the employees of the Office of the Circuit Attorney,Co-Sponsor,flowers,BB 14
BB 15 An Ord. pertaining to the salaries of employees of the Sheriff's Office,Co-Sponsor,flowers,BB 15
BB 16 An ordinance reaffirming the policy for the disclosure of potential conflicts of interest and substantial interests for certain municipal officials,Co-Sponsor,flowers,BB 16
BB 17 Zoning change in City block 1862,Co-Sponsor,flowers,BB 17
BB 18 Zoning change in City Block 3904,Co-Sponsor,flowers,BB 18
BB 19 Zoning change in City block 3919,Co-Sponsor,flowers,BB 19
BB 21 Zoning change in City Block 918,Co-Sponsor,flowers,BB 21
BB 22 Zoning change in City Block 930 and 931,Co-Sponsor,flowers,BB 22
BB 26 An ordinance approving a Redevelopment Plan for the 900-902 Utah Street and 3306 & 3312 S. 9th Street Area,Co-Sponsor,flowers,BB 26
"BB 31 An ordinance approving a Redevelopment Plan for 2642 Ann Avenue, 2256 Missouri Avenue & 2330 Menard Street Area",Co-Sponsor,flowers,BB 31
BB 32 An ordinance approving a Redevelopment Plan for 2637 & 2706 Allen Avenue  Area,Co-Sponsor,flowers,BB 32
BB 33 An ordinance approving a Redevelopment Plan for 2244 S. Jefferson Avenue Area,Co-Sponsor,flowers,BB 33
BB 34 An ordinance approving a Redevelopment Plan for the 3134-36 Shenandoah Area,Co-Sponsor,flowers,BB 34
BB 35 An ordinance approving a Redevelopment Plan for the 3429 Hartford Street Area,Co-Sponsor,flowers,BB 35
BB 36 An ordinance approving a Redevelopment Plan for the 3317 Magnolia Avenue Area,Co-Sponsor,flowers,BB 36
BB 38 An ordinance approving a Redevelopment Plan for 3801 Connecticut Street and 3844 Humphrey Street Area,Co-Sponsor,flowers,BB 38
BB 39 An ordinance approving a Redevelopment Plan for 3700 Potomac Street Area,Co-Sponsor,flowers,BB 39
BB 40 An ordinance approving a Redevelopment Plan for 3510-12 Utah Street Area,Co-Sponsor,flowers,BB 40
"BB 41 An ordinance approving a Redevelopment Plan for the 2626, 2632 & 2634 Wyoming Street Area",Co-Sponsor,flowers,BB 41
"BB 42 An ordinance approving a Redevelopment Plan for 2746 Wyoming Street, 2740 Miami Street & 2918 Cherokee Street Area",Co-Sponsor,flowers,BB 42
BB 43 An ordinance approving a Redevelopment Plan for the 2706 Wyoming Street Area,Co-Sponsor,flowers,BB 43
BB 44 An ordinance approving a Redevelopment Plan for the 2301-45 and 2304-06 Hebert St. Area,Co-Sponsor,flowers,BB 44
BB 45 An ordinance approving a Redevelopment Plan for the 1735 Delmar Blvd. Area,Co-Sponsor,flowers,BB 45
BB 46 An ordinance approving a Redevelopment Plan for the 700 Carr Street/Cochran Gardens Area,Co-Sponsor,flowers,BB 46
BB 47 An ordinance approving a Redevelopment Plan for the 4256-66 Blair Ave./1416-30 Ferry St. Area,Co-Sponsor,flowers,BB 47
BB 48 An ordinance approving a Redevelopment Plan for the 615 S. Vandeventer Ave. Area,Co-Sponsor,flowers,BB 48
BB 49 An ordinance approving a Redevelopment Plan for the 6600-12 & 6615 Minnesota Ave. and 6601-09 Pennsylvania Ave. Area,Co-Sponsor,flowers,BB 49
BB 50 An ordinance approving a Redevelopment Plan for the 1556 & 1560 Kraft Street & 1565 Fairmount Avenue Area,Co-Sponsor,flowers,BB 50
"BB 51 An ordinance approving a Redevelopment Plan for the 4048 Shaw Boulevard, 3636 Botanical Avenue & 3636-38 Shenandoah Avenue Area",Co-Sponsor,flowers,BB 51
BB 52 An ordinance approving a Redevelopment Plan for the 5358 Southwest Ave. and 2712 January Ave. Area,Co-Sponsor,flowers,BB 52
"BB 53 An Ordinance recommended by the Planning Commission, to change the zoning of property as indicated on the District Map, to the â€œIâ€ù Central Business District",Co-Sponsor,flowers,BB 53
"BB 54 An Ordinance recommended by the Planning Commission on April 6, 2005, to change the zoning of property as indicated on the District Map, to the â€œIâ€ù Central Business District",Co-Sponsor,flowers,BB 54
"BB 55 An Ordinance recommended by the Planning Commission on April 6, 2005, to change the zoning of property as indicated on the District Map, to the â€œHâ€ù Area Commercial District",Co-Sponsor,flowers,BB 55
"BB 56 An Ordinance recommended by the Planning Commission on April 6, 2005, to change the zoning of property as indicated on the District Map, to the â€œIâ€ù Central Business District",Co-Sponsor,flowers,BB 56
BB 58 An ordinance approving a Redevelopment Plan for the 1423-43 Hodiamont Avenue & 6113 Ridge Avenue Area,Co-Sponsor,flowers,BB 58
BB 59 An ordinance prohibiting the issuance of any package or drink liquor licenses for any currently non-licensed premises within the boundaries of the Twentieth Ward,Co-Sponsor,flowers,BB 59
"BB 61 An ordinance establishing and creating a Planned Unit Development District to be known as the ""Carroll Street Condominiums Planned Unit Development",Co-Sponsor,flowers,BB 61
"BB 64 An ordinance amending ordinance No. 66222 authorizing the execution of an amendment to redevelopment agreement between the city and WRT Highlands Hotel, LLC;",Co-Sponsor,flowers,BB 64
BB 68 An ordinance approving an amended redevelopment plan for the 300 N. Tucker Blvd. Area,Co-Sponsor,flowers,BB 68
BB 69 An ordinance establishing a Civilian Review Board,Co-Sponsor,flowers,BB 69
BB 70 An ordinance pertaining to dogs and dog parks,Co-Sponsor,flowers,BB 70
BB 70 An ordinance pertaining to dogs and dog parks,Co-Sponsor,flowers,BB 70
BB 71 An ordinance pertaining to the excise laws of the City of St. Louis,Co-Sponsor,flowers,BB 71
BB 71 An ordinance pertaining to the excise laws of the City of St. Louis,Co-Sponsor,flowers,BB 71
"BB 72 An Ordinance directing the Director of Public Safety to enter into and execute a Grant Agreement with the Missouri Emergency Management Agency,",Co-Sponsor,flowers,BB 72
"BB 72 An Ordinance directing the Director of Public Safety to enter into and execute a Grant Agreement with the Missouri Emergency Management Agency,",Co-Sponsor,flowers,BB 72
BB 75 An Ordinance directing the Fire Chief to enter into and execute a Grant Agreement with the U.S. Department of Homeland Security,Co-Sponsor,flowers,BB 75
BB 75 An Ordinance directing the Fire Chief to enter into and execute a Grant Agreement with the U.S. Department of Homeland Security,Co-Sponsor,flowers,BB 75
BB 129 An ordinance pertaining to the Second Ward Liquor Control District,Primary,flowers,BB 129
"BB 164 An Ordinance directing the Mayor and the Comptroller to execute, upon receipt of and in consideration of the sum of One Dollar ($1.00), and other good and valuable consideration, a permanent, irrevocable Easement, which shall give onto AmerenUE, Laclede Gas Company, Metropolitan St. Louis Sewer Dist",Primary,flowers,BB 164
BB 251 Special use districts,Primary,flowers,BB 251
BB 255 Street vending downtown,Co-Sponsor,flowers,BB 255
BB 258 Penalty for Building Code violations,Co-Sponsor,flowers,BB 258
BB 258 Penalty for Building Code violations,Co-Sponsor,flowers,BB 258
BB 282 Ordinance relating to traffic control.,Co-Sponsor,flowers,BB 282
BB 282 Ordinance relating to traffic control.,Co-Sponsor,flowers,BB 282
BB 293 Redevelopment plan for 110 E. Grand,Primary,flowers,BB 293
"BB 422 An ordinance recommended by the Board of Public Service to vacate public surface rights for vehicle, equestrian and pedestrian travel in a 15 foot wide un-named street from Hall St. to Riverview Dr. in the City of St. Louis, Missouri, as hereinafter described, in accordance with Charter authority, a",Primary,flowers,BB 422
BB 18 An ordinance reducing discrimination in housing.,Co-Sponsor,flowers,BB 18
BB 188 Redev. plan for Hall Street Industrial,Primary,flowers,BB 188
BB 222 Redev. plan for 6504 Prescott,Primary,flowers,BB 222
"BB 234 Lease agreement with Alberici Constructors, Inc",Primary,flowers,BB 234
BB 267 Stop site at Riverview and Newby,Primary,flowers,BB 267
BB 303 Special use district,Primary,flowers,BB 303
BB 321 Ord. approving a redevelopment plan for 3907 N. Wharf,Primary,flowers,BB 321
BB 332 Lease with Great Rivers Greenway District,Primary,flowers,BB 332
BB 335 Prohibiting issuance of liquor license in the 2nd Ward,Primary,flowers,BB 335
BB 337 Halls Ferry Circle Reconstruction Project,Primary,flowers,BB 337
BB 102 Designating Fourth Street between Market Street and Chestnut Street as Dred Scott Way@.,Co-Sponsor,flowers,BB 102
BB 124 Prohibiting the operation of a vehicle if person's license is suspended,Co-Sponsor,flowers,BB 124
BB 126 Liquor moratorium in the 2nd Ward,Primary,flowers,BB 126
BB 167 Gateway Mall,Co-Sponsor,flowers,BB 167
BB 197 Vacate Dock from hall to Terninus,Primary,flowers,BB 197
BB 198 Vacate north south alley at 3935 N. Broadway,Primary,flowers,BB 198
BB 279 Zoning change for 8907-51 Riverview,Primary,flowers,BB 279
BB 339 zoning change for Bremen and N. 9th,Primary,flowers,BB 339
BB 378 Dog Tethering Bill,Co-Sponsor,flowers,BB 378
BB 404 Cyber Harassment,Co-Sponsor,flowers,BB 404
BB 422 Redevelopment plan for N. Broadway,Primary,flowers,BB 422
BB 497 Liquor moratorium in the 2nd Ward,Primary,flowers,BB 497
BB 77 Redevelopment plan for 6201-59 N. Broadway and 800-880 E. Taylor,Primary,flowers,BB 77
BB 78 Redevelopment plan for Carrie/Bulwer/Adelaide/W 3rd,Primary,flowers,BB 78
BB 88 Zoning change for for 840-80 E. Taylor,Primary,flowers,BB 88
BB 239 Ordinance pertaining to check cashing.,Co-Sponsor,flowers,BB 239
BB 14 Redev. plan for 6800-08 Prescott,Primary,flowers,BB 14
BB 43 Public Works Bill,Co-Sponsor,flowers,BB 43
BB 47 Annual HUD Action Plan,Co-Sponsor,flowers,BB 47
BB 56 Taylor-Carrie TIF Plan,Primary,flowers,BB 56
BB 65 Taylor - Carrie TIF Agreement,Primary,flowers,BB 65
BB 66 Taylor - Carrie TIF Note,Primary,flowers,BB 66
BB 67 Taylor - Carrie CID,Primary,flowers,BB 67
BB 75 Ordinance pertaining to public works establishing apprenticeship training.,Co-Sponsor,flowers,BB 75
"BB 97 Redevelopment plan for 6201-59 N. Broadway, 800-840 E. Taylor",Primary,flowers,BB 97
BB 98 Redevelopment Carrie/Bulwer/Adelade,Primary,flowers,BB 98
BB 105 Registration fee for vacant buildings,Co-Sponsor,flowers,BB 105
BB 195 Easement for MSD,Primary,flowers,BB 195
"BB 249 Vacation of walkway at Gast Pl., Hornsby, Concord Pl., Grape",Primary,flowers,BB 249
BB 251 Ord. regarding collecting for business licenses.,Co-Sponsor,flowers,BB 251
BB 275 Calvary private alley,Primary,flowers,BB 275
BB 297 Ord. pertaining to the Halls Ferry Circle Reconstruction,Primary,flowers,BB 297
"BB 320 Vacation of the E-W alley at Riverview, Newby, Canaan, Newby",Primary,flowers,BB 320
BB 321 Ord. enacting a curfew for North Riverfront Park,Primary,flowers,BB 321
BB 330 Ordinance est. Public Trust Fund,Co-Sponsor,flowers,BB 330
BB 2 Ord. pertaining to Public Art,Co-Sponsor,flowers,BB 2
BB 7 Ord. relating to complete streets policy,Co-Sponsor,flowers,BB 7
BB 45 Lease on unimproved Warf,Primary,flowers,BB 45
BB 67 Ordinance pertaining to discrimination.,Co-Sponsor,flowers,BB 67
BB 90 Amendment to plan for N. Broadway Industrial Park,Primary,flowers,BB 90
BB 166 Vacation of May St. from Broadway to Second,Primary,flowers,BB 166
BB 167 Vacation of 2nd st. at Buchanan,Primary,flowers,BB 167
BB 211 Casino Bill,Primary,flowers,BB 211
BB 225 Earnings tax bill,Co-Sponsor,flowers,BB 225
BB 228 Casino bill,Primary,flowers,BB 228
BB 237 Closing Hornsby at Halls Ferry Road,Primary,flowers,BB 237
BB 241 Prohibiting outdoor advertising signs,Co-Sponsor,flowers,BB 241
BB 250 Brendel Flood Ordinance,Co-Sponsor,flowers,BB 250
BB 266 Mooring priv. for Kiesel Co. Lease,Primary,flowers,BB 266
BB 279 North Broadway Carrie TIF,Primary,flowers,BB 279
BB 280 North Broadway TIF Agreement,Primary,flowers,BB 280
BB 31 Closing Annetta Ave at Halls Ferry,Primary,flowers,BB 31
"BB 38 Vacation of the alley at Pope, Prescott, Clarence, Ouida",Primary,flowers,BB 38
BB 46 Grace Hill Settlement Lease Agreement,Primary,flowers,BB 46
BB 56 Zoning change for Loves Travel Center,Primary,flowers,BB 56
BB 79 North Broadway Carrie Redev. Project,Primary,flowers,BB 79
BB 91 Grant for Child & Adult Care Food Program,Co-Sponsor,flowers,BB 91
BB 95 Est. North Broadway CID,Primary,flowers,BB 95
BB 125 Redev. plan for 4500-78 N. Broadway,Primary,flowers,BB 125
BB 189 Ord. Relating to Forest Park,Co-Sponsor,flowers,BB 189
BB 221 Amending N. Carrie Redev. project,Primary,flowers,BB 221
BB 222 Lease amendment with the Port Authority,Primary,flowers,BB 222
BB 223 Grant agrmt. with the Missouri Foundation for Health or any other agency (Grant # 11-0226-HAC) for the ?St. Louis Healthy Corner Store Project;?,Co-Sponsor,flowers,BB 223
BB 282 Water contract legislation,Primary,flowers,BB 282
BB 283 Water Division Distribution Impr.,Primary,flowers,BB 283
BB 284 Water plant improvements,Primary,flowers,BB 284
BB 294 Agreement with N. Broadway Carrie Transportation District,Primary,flowers,BB 294
BB 63 Redevelopment plan for Baden Scattered Sites V,Primary,flowers,BB 63
BB 114 Second amendment to Lease with ACL Transportation,Primary,flowers,BB 114
BB 114 Second amendment to Lease with ACL Transportation,Primary,flowers,BB 114
BB 122 Stop sign at Angelica and North 1st Street,Primary,flowers,BB 122
BB 132 Redevelopment plan for 6901 McKissock,Primary,flowers,BB 132
BB 178 Redevelopment plan for 5200-40 N. 2nd St.,Primary,flowers,BB 178
BB 187 Establishing a stop site at N. 1st St. and Angelica,Primary,flowers,BB 187
BB 228 Water system buildings and facilities,Primary,flowers,BB 228
BB 233 4-way stop at Logan and Lowell,Primary,flowers,BB 233
BB 259 Lease agreement with Grace Hill Settlement,Primary,flowers,BB 259
BB 260 Closing Northcrest Lane at Goodfellow,Primary,flowers,BB 260
BB 275 Marijuana decriminalization,Co-Sponsor,flowers,BB 275
BB 285 Contract between St. Louis and Union Electric,Primary,flowers,BB 285
BB 297 City Public Works Projects,Co-Sponsor,flowers,BB 297
BB 35 Zoning change for 1520-1524 E. College,Primary,flowers,BB 35
BB 49 Redevelopment plan for College Hill Nazareth Homes,Primary,flowers,BB 49
BB 70 Proctor and Gamble easement,Primary,flowers,BB 70
BB 180 Redev. plan for 1600-1716 & 1601-07 N. Broadway,Primary,flowers,BB 180
BB 196 Public Works Project for North Broadway,Primary,flowers,BB 196
BB 242 Amending the Taylor Carrie TIF,Primary,flowers,BB 242
BB 243 Carrie Ave. TIF approv. ordinance,Primary,flowers,BB 243
BB 244 Carrie Ave. TIF authorizing ordinance,Primary,flowers,BB 244
BB 245 Carrie Ave. TIF Note,Primary,flowers,BB 245
BB 273 MSD Easement,Primary,flowers,BB 273
"BB 288 Vacation of the alley at Second, Mound and Mullanphy",Co-Sponsor,flowers,BB 288
BB 294 Redevelopment plan for 209 E. Grand,Primary,flowers,BB 294
BB 300 Water Systems Improvement Funding,Primary,flowers,BB 300
BB 314 Estab. Carrie CID,Primary,flowers,BB 314
BB 13 Revelopment plan for 3637 N. Utah Place,Primary,flowers,BB 13
BB 41 Establish Carrie CID,Primary,flowers,BB 41
BB 48 Gregory J. Carter Park,Co-Sponsor,flowers,BB 48
BB 52 Redevelopment plan for 6335 Bulwer Ave,Primary,flowers,BB 52
BB 53 Redevelopment plan for Lookaway Drive,Primary,flowers,BB 53
BB 53 Redevelopment plan for Lookaway Drive,Primary,flowers,BB 53
"BB 66 adoption of a policy supporting the practice of the Trap-Neuter-Returnof feral cats;",Co-Sponsor,flowers,BB 66
"BB 66 adoption of a policy supporting the practice of the Trap-Neuter-Returnof feral cats;",Co-Sponsor,flowers,BB 66
BB 161 Carrie Av. CID,Primary,flowers,BB 161
BB 187 Ordinance to sell property at #5 Branch to Gunther Salt Co and Great Rivers Greenway,Primary,flowers,BB 187
BB 188 Continental Cement Co. lease,Primary,flowers,BB 188
BB 208 Civilian Review Board,Co-Sponsor,flowers,BB 208
BB 221 Competitive bidding and composition of workforce,Co-Sponsor,flowers,BB 221
BB 4 Sale of 61 Ferry St. to Proctor & Gamble,Primary,flowers,BB 4
BB 21 Redevelopment plan for 6200-12 N. Broadway,Primary,flowers,BB 21
"BB 81 $15,000 Grant for Adults With Disabilities and Senior Citizens",Primary,flowers,BB 81
BB 82 Continuum of Care Grant,Primary,flowers,BB 82
BB 84 Redevelopment plan for 825-885 East Taylor,Primary,flowers,BB 84
BB 84 Redevelopment plan for 825-885 East Taylor,Primary,flowers,BB 84
BB 167 Zoning change for 8975 & 8979 Riverview,Primary,flowers,BB 167
BB 173 Amending Minimum Wage ord. pertaining to Sheltered Workshops,Co-Sponsor,flowers,BB 173
BB 176 Soldiers Memorial Agreement,Co-Sponsor,flowers,BB 176
"BB 204 Grant for $49,000 for eHome Repair",Primary,flowers,BB 204
BB 220 Byrne Health Dept. Grant,Primary,flowers,BB 220
BB 221 Public Health Emergency Preparedness,Primary,flowers,BB 221
BB 265 Earnings Tax,Co-Sponsor,flowers,BB 265
BB 5 Repealing redevelopment plan for Lookaway Drive,Primary,flowers,BB 5
BB 36 Program for monitoring the prescribing and dispensing of controlled substances,Co-Sponsor,flowers,BB 36
BB 102 Quit Claim Deed City Block 661E,Primary,flowers,BB 102
BB 109 Missouri Clean Energy District,Co-Sponsor,flowers,BB 109
BB 145 Grant for re-entry services,Primary,flowers,BB 145
BB 146 Grant for continuum of care homeless assistance,Primary,flowers,BB 146
BB 169 Raising the age to 21 for sales of nicotine products,Primary,flowers,BB 169
BB 170 Raising the age to 21 for sales of alternative nicotine products,Primary,flowers,BB 170
BB 294 Ordinance prohibiting the use of smokeless tobacco at sporting events,Primary,flowers,BB 294
BB 305 Ordinance approving minority & women owned business program,Co-Sponsor,flowers,BB 305
BB 309 Ordinance prohibiting the use of alleys by operators of motor vehicles for drive through traffic,Co-Sponsor,flowers,BB 309
BB 6 Rezoning 11050 and 11110 Riverview,Primary,flowers,BB 6
BB 7 Establishing Lighthouse St. Louis Area Special Use District,Primary,flowers,BB 7
"BB 24 Vacation of the alley at Penrose, Broadway, Angelica and I-70",Primary,flowers,BB 24
BB 31 Ordinance to Join Clean Energy Act,Co-Sponsor,flowers,BB 31
BB 176 Assigning TIF revenues to Southtown Redevelopment Area,Primary,green,BB 176
BB 196 2014 Lead grant bill,Co-Sponsor,green,BB 196
BB 198 Ordinance amending complete streets policy,Co-Sponsor,green,BB 198
BB 208 Civilian Review Board,Co-Sponsor,green,BB 208
BB 210 Amending Redevelopment Plan for 3637 N. Utah,Primary,green,BB 210
BB 220 Liquor Moratorium for 15th Ward,Primary,green,BB 220
BB 221 Competitive bidding and composition of workforce,Co-Sponsor,green,BB 221
BB 13 Redevelopment plan for 3811 Juniata,Primary,green,BB 13
BB 14 Redevelopment plan for 3806 Arsenal,Primary,green,BB 14
"BB 15 Redevelopment plan for 3836 Hartford, 3831 Wyoming",Primary,green,BB 15
BB 76 Ordinance regarding Maya Angelou's birthplace,Co-Sponsor,green,BB 76
BB 83 Ordinance establishing a minimum wage in the City of St. Louis,Co-Sponsor,green,BB 83
BB 83 Ordinance establishing a minimum wage in the City of St. Louis,Co-Sponsor,green,BB 83
BB 83 Ordinance establishing a minimum wage in the City of St. Louis,Co-Sponsor,green,BB 83
BB 85 Redevelopment plan for 3862 Humphrey,Primary,green,BB 85
BB 85 Redevelopment plan for 3862 Humphrey,Primary,green,BB 85
BB 113 Ordinance relating to speed bumps,Co-Sponsor,green,BB 113
BB 115 Ordinance pertaining to Recreation Centers,Co-Sponsor,green,BB 115
BB 130 Redevelopment plan for 3865 Humphrey,Primary,green,BB 130
BB 155 Redevelopment plan for 3661 Hartford,Primary,green,BB 155
BB 156 Redevelopment plan for 3662 Humphrey,Primary,green,BB 156
BB 157 Redevelopment plan for 4168 Juniata,Primary,green,BB 157
BB 176 Soldiers Memorial Agreement,Co-Sponsor,green,BB 176
BB 206 Redevelopment plan for 3600 Bamberger,Primary,green,BB 206
BB 207 Stadium Ordinance,Primary,green,BB 207
BB 256 Redevelopment plan for 3504 McKean Avenue,Primary,green,BB 256
BB 257 Redevelopment plan for 3610-12 Bamberger,Primary,green,BB 257
BB 265 Earnings Tax,Co-Sponsor,green,BB 265
BB 273 Redevelopment plan for 3708 Humphry,Primary,green,BB 273
BB 309 Ordinance requiring online record of Board of Aldermen votes,Co-Sponsor,green,BB 309
BB 16 Redevelopment plan for 3835 Connecticut,Primary,green,BB 16
BB 17 Redevelopment plan for 3657 Wyoming,Primary,green,BB 17
BB 36 Program for monitoring the prescribing and dispensing of controlled substances,Co-Sponsor,green,BB 36
BB 40 Ordinance pertaining to drug related overdoses and medical assistance,Co-Sponsor,green,BB 40
BB 44 Redevelopment plan for 3722 Tholozan,Primary,green,BB 44
BB 53 Ordinance pertaining to campaign contribution limits,Co-Sponsor,green,BB 53
BB 54 Ordinance banning lobbyist from the Board of Aldermen Chambers,Primary,green,BB 54
BB 63 Fiscal Note Bill,Co-Sponsor,green,BB 63
BB 76 Redevelopment plan for 3935-37 Wyoming,Primary,green,BB 76
BB 142 Barring tractor-trailer traffic on a section of Morganford,Primary,green,BB 142
BB 151 Amending Public Nuisances Code,Primary,green,BB 151
BB 203 Ordinance regarding pregnancy and reproductive health decisions as protected classes,Primary,green,BB 203
